state_code,district_code,district_name,area_type,age_group,total_population,total_males,total_females,illiterate_population,illiterate_males,illiterate_females,literate_population,literate_males,literate_females
13,264,wokha,Rural,30-34,9556,4627,4929,1109,420,689,8447,4207,4240
13,264,wokha,Rural,35-39,8346,4046,4300,1168,382,786,7178,3664,3514
13,264,wokha,Rural,40-44,7458,3690,3768,1272,454,818,6186,3236,2950
13,264,wokha,Rural,45-49,6403,3358,3045,1339,466,873,5064,2892,2172
13,264,wokha,Rural,50-54,4934,2542,2392,1307,406,901,3627,2136,1491
13,264,wokha,Rural,55-59,3375,1784,1591,1040,284,756,2335,1500,835
13,264,wokha,Rural,60-64,2832,1537,1295,1077,322,755,1755,1215,540
13,264,wokha,Rural,65-69,1811,976,835,817,262,555,994,714,280
13,264,wokha,Rural,70-74,1220,621,599,710,227,483,510,394,116
13,264,wokha,Rural,75-79,715,400,315,435,180,255,280,220,60
13,264,wokha,Rural,80+,918,527,391,594,265,329,324,262,62
13,264,wokha,Rural,Age not stated,58,43,15,6,5,1,52,38,14
13,264,wokha,Urban,All ages,35004,18070,16934,5017,2352,2665,29987,15718,14269
13,264,wokha,Urban,0-6,3700,1855,1845,3700,1855,1845,0,0,0
13,264,wokha,Urban,7,665,347,318,114,54,60,551,293,258
13,264,wokha,Urban,8,629,324,305,36,16,20,593,308,285
13,264,wokha,Urban,9,659,341,318,53,27,26,606,314,292
13,264,wokha,Urban,10,810,398,412,42,19,23,768,379,389
13,264,wokha,Urban,11,756,380,376,21,10,11,735,370,365
13,264,wokha,Urban,12,819,406,413,21,11,10,798,395,403
13,264,wokha,Urban,13,824,408,416,15,8,7,809,400,409
13,264,wokha,Urban,14,957,457,500,15,5,10,942,452,490
13,264,wokha,Urban,15,976,507,469,35,15,20,941,492,449
13,264,wokha,Urban,16,1096,573,523,35,15,20,1061,558,503
13,264,wokha,Urban,17,946,462,484,32,10,22,914,452,462
13,264,wokha,Urban,18,1051,507,544,29,7,22,1022,500,522
13,264,wokha,Urban,19,902,482,420,29,16,13,873,466,407
13,264,wokha,Urban,20-24,4628,2261,2367,110,46,64,4518,2215,2303
13,264,wokha,Urban,25-29,3820,1914,1906,82,39,43,3738,1875,1863
13,264,wokha,Urban,30-34,2989,1612,1377,91,46,45,2898,1566,1332
13,264,wokha,Urban,35-39,2274,1208,1066,76,19,57,2198,1189,1009
13,264,wokha,Urban,40-44,1892,993,899,68,27,41,1824,966,858
13,264,wokha,Urban,45-49,1592,843,749,88,24,64,1504,819,685
13,264,wokha,Urban,50-54,1145,673,472,69,19,50,1076,654,422
13,264,wokha,Urban,55-59,673,400,273,49,10,39,624,390,234
13,264,wokha,Urban,60-64,491,297,194,60,17,43,431,280,151
13,264,wokha,Urban,65-69,288,171,117,47,14,33,241,157,84
13,264,wokha,Urban,70-74,185,114,71,40,8,32,145,106,39
13,264,wokha,Urban,75-79,82,50,32,20,5,15,62,45,17
13,264,wokha,Urban,80+,142,77,65,40,10,30,102,67,35
13,264,wokha,Urban,Age not stated,13,10,3,0,0,0,13,10,3
13,265,dimapur,Total,All ages,378811,197394,181417,100774,47252,53522,278037,150142,127895
13,265,dimapur,Total,0-6,50898,25889,25009,50898,25889,25009,0,0,0
13,265,dimapur,Total,7,8433,4353,4080,2972,1545,1427,5461,2808,2653
13,265,dimapur,Total,8,8039,4210,3829,1593,801,792,6446,3409,3037
13,265,dimapur,Total,9,7761,3969,3792,1187,579,608,6574,3390,3184
